18.0396 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1280, 1024]. Using actual size
394.3862 	Level image=UCO.jpg 	25
395.1696 	Level injecting via pump at address 2 	25
395.1697 	Level injecting via pump at address 2 	25
395.1699 	Level post injecting via pump at address 2 	25
401.1658 	DATA 	Keypress: o
401.1670 	DATA 	Keypress: o
401.1682 	DATA 	Keypress: o
401.1815 	Level start wait 	25
403.1654 	DATA 	Keypress: o
403.1819 	Level RINSE 	25
406.1654 	DATA 	Keypress: o
406.1668 	DATA 	Keypress: o
406.1991 	Level Start Jitter 	25
412.1593 	Level finished 	25
412.1611 	DATA 	Keypress: o
412.1626 	DATA 	Keypress: o
412.1638 	DATA 	Keypress: o
412.1644 	Level onset of trial =343.000000 	25
412.3968 	Level image=CO.jpg 	25
413.1798 	Level injecting via pump at address 1 	25
413.1799 	Level injecting via pump at address 1 	25
413.1801 	Level post injecting via pump at address 1 	25
419.1651 	DATA 	Keypress: o
419.1664 	DATA 	Keypress: o
419.1676 	DATA 	Keypress: o
419.1786 	Level start wait 	25
421.1653 	DATA 	Keypress: o
421.1780 	Level RINSE 	25
424.1650 	DATA 	Keypress: o
424.1661 	DATA 	Keypress: o
424.1927 	Level Start Jitter 	25
433.1593 	Level finished 	25
433.1607 	DATA 	Keypress: o
433.1618 	DATA 	Keypress: o
433.1627 	DATA 	Keypress: o
433.1640 	DATA 	Keypress: o
433.1649 	Level onset of trial =364.000000 	25
433.3843 	Level image=CO.jpg 	25
434.1622 	DATA 	Keypress: o
434.1728 	Level injecting via pump at address 1 	25
434.1730 	Level injecting via pump at address 1 	25
434.1731 	Level post injecting via pump at address 1 	25
440.1658 	DATA 	Keypress: o
440.1671 	DATA 	Keypress: o
440.1684 	DATA 	Keypress: o
440.1836 	Level start wait 	25
442.1643 	DATA 	Keypress: o
442.1709 	Level RINSE 	25
445.1652 	DATA 	Keypress: o
445.1842 	Level Start Jitter 	25
450.1593 	Level finished 	25
450.1609 	DATA 	Keypress: o
450.1624 	DATA 	Keypress: o
450.1636 	DATA 	Keypress: o
450.1642 	Level onset of trial =381.000000 	25
450.3853 	Level image=UCO.jpg 	25
